iter	RMSE
0	13.94132103
1	13.17129361
2	12.47145096
3	11.77910816
4	11.21106342
5	10.67340974
6	10.17271736
7	9.664207008
8	9.220973748
9	8.87065466
10	8.571571254
11	8.280457889
12	7.984651462
13	7.681225022
14	7.428388821
15	7.229658007
16	7.009793467
17	6.823066755
18	6.646244644
19	6.473989284
20	6.368337574
21	6.21774152
22	6.081757154
23	5.947902508
24	5.847136348
25	5.737167654
26	5.633933539
27	5.538633797
28	5.445676957
29	5.357214812
30	5.285581947
31	5.213060805
32	5.142845599
33	5.100858889
34	5.057473726
35	4.990774899
36	4.955858253
37	4.907947698
38	4.868696854
39	4.830602896
40	4.780582798
41	4.735094879
42	4.682814099
43	4.6552144
44	4.618284817
45	4.595856353
46	4.561644325
47	4.546304683
48	4.515230103
49	4.482018181
50	4.461520345
51	4.42248201
52	4.387975244
53	4.349207991
54	4.32580247
55	4.29520219
56	4.261886851
57	4.247440223
58	4.212076989
59	4.190455985
60	4.168570325
61	4.139692303
62	4.11288846
63	4.072588383
64	4.045984819
65	4.023878932
66	4.003585151
67	3.976033662
68	3.954263603
69	3.930023569
70	3.912991981
71	3.897110209
72	3.87145627
73	3.853550048
74	3.832809142
75	3.805949266
76	3.782147955
77	3.764627325
78	3.743706347
79	3.722757366
80	3.708759433
81	3.682505914
