iter	Passed	Remaining
0	58	58011
1	58	29118
2	58	19485
3	58	14665
4	59	11765
5	59	9841
6	59	8464
7	59	7431
8	60	6631
9	60	5991
10	60	5464
11	61	5027
12	61	4656
13	61	4341
14	61	4065
15	62	3822
16	62	3611
17	62	3422
18	63	3253
19	63	3107
20	64	3007
21	64	2881
22	65	2766
23	65	2668
24	66	2577
25	66	2507
26	67	2424
27	67	2353
28	68	2287
29	68	2221
30	69	2160
31	69	2106
32	69	2048
33	70	1993
34	70	1943
35	70	1896
36	71	1853
37	71	1813
38	71	1770
39	72	1730
40	72	1691
41	72	1655
42	72	1621
43	73	1588
44	73	1557
45	73	1527
46	73	1498
47	74	1471
48	74	1446
49	74	1421
50	75	1396
51	75	1373
52	75	1351
53	75	1330
54	76	1309
55	76	1289
56	76	1270
57	77	1252
58	77	1234
59	77	1216
60	78	1201
61	78	1185
62	78	1169
63	78	1154
64	79	1139
65	79	1125
66	79	1112
67	80	1097
68	80	1086
69	80	1075
70	81	1064
71	81	1053
72	82	1043
73	82	1032
74	82	1021
75	83	1011
76	83	1001
77	83	992
78	84	983
79	84	973
80	84	963
81	85	954
82	85	946
83	86	938
84	86	927
85	86	919
86	86	909
87	86	901
88	87	893
89	87	887
90	88	880
91	88	873
92	88	866
93	89	859
94	89	852
95	89	845
96	90	839
97	90	832
98	90	826
99	91	819
100	91	812
101	91	804
102	91	798
103	91	792
104	92	786
105	92	780
106	92	774
107	93	768
108	93	763
109	93	757
110	93	752
111	94	747
112	94	741
113	94	736
114	95	731
115	95	725
116	95	720
117	95	715
118	95	710
119	96	705
120	96	700
121	96	696
122	96	690
123	97	686
124	97	682
125	97	678
126	98	675
127	98	670
128	98	667
129	99	664
130	99	660
131	100	657
132	100	654
133	100	651
134	101	648
135	101	645
136	101	641
137	102	637
138	102	633
139	102	630
140	102	627
141	103	623
142	103	620
143	103	617
144	104	613
145	104	610
146	104	606
147	104	603
148	105	600
149	105	597
150	105	593
151	105	590
152	106	587
153	106	584
154	106	581
155	106	578
156	107	575
157	107	572
158	107	569
159	107	566
160	108	563
161	108	560
162	108	558
163	108	555
164	109	552
165	109	549
166	109	547
167	109	544
168	110	541
169	110	539
170	110	536
171	111	534
172	111	531
173	111	529
174	111	527
175	112	524
176	112	522
177	112	520
178	112	517
179	113	515
180	113	512
181	113	510
182	113	507
183	114	505
184	114	503
185	114	501
186	114	499
187	115	498
188	115	496
189	116	495
190	116	493
191	116	492
192	117	490
193	117	488
194	117	486
195	118	485
196	118	484
197	119	482
198	119	480
199	119	479
200	120	477
201	120	475
202	120	474
203	121	472
204	121	470
205	121	468
206	121	466
207	122	465
208	122	463
209	122	461
210	123	460
211	123	458
212	123	457
213	124	455
214	124	453
215	124	452
216	124	450
217	125	448
218	125	447
219	125	445
