iter	Passed	Remaining
0	61	61598
1	61	30930
2	62	20678
3	62	15545
4	62	12464
5	62	10412
6	63	8949
7	63	7850
8	63	6993
9	63	6309
10	63	5750
11	64	5282
12	64	4891
13	64	4553
14	64	4260
15	65	4003
16	65	3776
17	65	3575
18	65	3397
19	66	3242
20	66	3097
21	66	2966
22	66	2844
23	67	2733
24	67	2634
25	67	2538
26	68	2450
27	68	2370
28	68	2293
29	68	2222
30	68	2156
31	69	2093
32	69	2034
33	69	1978
34	69	1925
35	70	1877
36	70	1833
37	70	1789
38	70	1747
39	71	1707
40	71	1669
41	71	1632
42	71	1598
43	72	1565
44	72	1533
45	72	1502
46	72	1475
47	72	1447
48	73	1420
49	73	1395
50	73	1370
51	73	1345
52	74	1323
53	74	1301
54	74	1279
55	74	1259
56	74	1240
57	75	1223
58	75	1204
59	75	1187
60	76	1173
61	76	1157
62	76	1141
63	77	1126
64	77	1113
65	77	1099
66	77	1085
67	78	1071
68	78	1057
69	78	1044
70	78	1032
71	79	1019
72	79	1007
73	79	997
74	80	986
75	80	976
76	80	965
77	80	954
78	80	944
79	81	933
80	81	925
81	81	915
82	81	904
83	82	894
84	82	885
85	82	876
86	82	867
87	82	859
88	83	853
89	83	846
90	83	838
91	84	831
92	84	824
93	84	818
94	85	811
95	85	805
96	85	798
97	86	791
98	86	784
99	86	778
100	86	772
101	87	768
102	87	762
103	87	756
104	87	750
105	88	744
106	88	738
107	88	732
108	88	727
109	89	722
110	89	717
111	89	712
112	90	707
113	90	702
114	90	696
115	90	692
116	90	686
117	91	682
118	91	677
119	91	672
120	91	667
121	92	662
122	92	659
123	92	654
124	92	650
125	93	646
126	93	641
127	93	637
128	93	633
129	94	629
130	94	625
131	94	621
132	94	617
133	94	613
134	95	609
135	95	606
136	95	602
137	95	598
138	96	595
139	96	591
140	96	588
141	96	584
142	96	581
143	97	578
144	97	575
145	97	571
146	98	568
147	98	569
148	99	568
149	100	571
150	101	571
151	101	568
152	102	566
153	102	564
154	103	563
155	103	561
156	104	560
157	104	557
158	105	555
159	105	553
160	105	549
161	105	547
162	106	544
163	106	542
164	106	539
165	106	536
166	107	534
167	107	531
168	107	529
169	107	526
170	108	524
171	108	521
172	108	519
